id,kingdom,phylum,class,order,family,genus,species,n_train_samples,n_val_samples
07888,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,confusa,162,10
00785,Animalia,Arthropoda,Insecta,Hymenoptera,Megachilidae,Anthidium,oblongatum,162,10
07039,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Taraxacum,officinale,300,10
00777,Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,Halictus,poeyi,182,10
01123,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Spilosoma,congrua,258,10
07096,Plantae,Tracheophyta,Magnoliopsida,Asterales,Campanulaceae,Campanula,sibirica,188,10
07067,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Vernonia,missurica,195,10
04799,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Microtus,californicus,168,10
07927,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Calliandra,houstoniana,184,10
01803,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Brintesia,circe,300,10
01338,Animalia,Arthropoda,Insecta,Lepidoptera,Hesperiidae,Astraptes,fulgerator,300,10
00017,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Argiope,australis,170,10
06813,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Grindelia,squarrosa,300,10
04300,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Empidonax,flaviventris,300,10
04636,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Raphicerus,campestris,300,10
08107,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Vachellia,karroo,300,10
05354,Animalia,Mollusca,Gastropoda,Stylommatophora,Helicidae,Theba,pisana,300,10
02261,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Platynota,idaeusalis,300,10
03211,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anser,cygnoides,300,10
06689,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Chaenactis,douglasii,286,10
00722,Animalia,Arthropoda,Insecta,Hymenoptera,Crabronidae,Bicyrtes,quadrifasciatus,300,10
07639,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Knautia,arvensis,300,10
00397,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Protaetia,cuprea,227,10
06330,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Arundo,donax,300,10
03003,Animalia,Chordata,Amphibia,Anura,Hylidae,Smilisca,baudinii,300,10
07412,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Opuntia,tomentosa,300,10
07250,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Erysimum,capitatum,300,10
05998,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Arundina,graminifolia,300,10
09674,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,Tolmiea,menziesii,300,10
