id,kingdom,phylum,class,order,family,genus,species,n_train_samples,n_val_samples
07888,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Acacia,confusa,50,10
00785,Animalia,Arthropoda,Insecta,Hymenoptera,Megachilidae,Anthidium,oblongatum,50,10
07039,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Taraxacum,officinale,50,10
00777,Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,Halictus,poeyi,50,10
01123,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Spilosoma,congrua,50,10
07096,Plantae,Tracheophyta,Magnoliopsida,Asterales,Campanulaceae,Campanula,sibirica,50,10
07067,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Vernonia,missurica,50,10
04799,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Microtus,californicus,50,10
07927,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Calliandra,houstoniana,50,10
01803,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Brintesia,circe,50,10
01338,Animalia,Arthropoda,Insecta,Lepidoptera,Hesperiidae,Astraptes,fulgerator,50,10
00017,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Argiope,australis,50,10
06813,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Grindelia,squarrosa,50,10
04300,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Empidonax,flaviventris,50,10
04636,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Raphicerus,campestris,50,10
08107,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Vachellia,karroo,50,10
05354,Animalia,Mollusca,Gastropoda,Stylommatophora,Helicidae,Theba,pisana,50,10
02261,Animalia,Arthropoda,Insecta,Lepidoptera,Tortricidae,Platynota,idaeusalis,50,10
03211,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anser,cygnoides,50,10
06689,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Chaenactis,douglasii,50,10
00722,Animalia,Arthropoda,Insecta,Hymenoptera,Crabronidae,Bicyrtes,quadrifasciatus,50,10
07639,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Knautia,arvensis,50,10
00397,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Protaetia,cuprea,50,10
06330,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Arundo,donax,50,10
03003,Animalia,Chordata,Amphibia,Anura,Hylidae,Smilisca,baudinii,50,10
07412,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Cactaceae,Opuntia,tomentosa,50,10
07250,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Erysimum,capitatum,50,10
05998,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Arundina,graminifolia,50,10
09674,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,Tolmiea,menziesii,50,10
05306,Animalia,Mollusca,Gastropoda,Nudibranchia,Discodorididae,Diaulula,sandiegensis,50,10
